User,User (Team),Player 1 (Captain),Player 2 (Vice Captain),Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
007 M S D,007 M S D (1),Cody Gakpo,Ibrahim Sangare,Dani De Wit,Jesper Karlsson,Joey Veerman,Olivier Boscagli,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
007 M S D,007 M S D (2),Cody Gakpo,Vangelis Pavlidis,Dani De Wit,Ibrahim Sangare,Jesper Karlsson,Joey Veerman,Olivier Boscagli,Phillipp Mwene,Ritsu Doan,Yukinari Sugawara,Yvon Mvogo
007 M S D,007 M S D (3),Ibrahim Sangare,Ritsu Doan,Cody Gakpo,Dani De Wit,Jesper Karlsson,Joey Veerman,Olivier Boscagli,Phillipp Mwene,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
007 M S D,007 M S D (4),Cody Gakpo,Phillipp Mwene,Armando Obispo,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mario Gotze,Mauro Junior,Olivier Boscagli,Yvon Mvogo
007 M S D,007 M S D (5),Mario Gotze,Phillipp Mwene,Armando Obispo,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Olivier Boscagli,Yvon Mvogo
007 M S D,007 M S D (6),Cody Gakpo,Ibrahim Sangare,Armando Obispo,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Olivier Boscagli,Phillipp Mwene,Yvon Mvogo
007 M S D,007 M S D (7),Ibrahim Sangare,Phillipp Mwene,Armando Obispo,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Olivier Boscagli,Yvon Mvogo
007 M S D,007 M S D (8),Phillipp Mwene,Olivier Boscagli,Armando Obispo,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Jordy Clasie,Mauro Junior,Yvon Mvogo
007 M S D,007 M S D (9),Ritsu Doan,Phillipp Mwene,Armando Obispo,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Olivier Boscagli,Yvon Mvogo
007 M S D,007 M S D (10),Joey Veerman,Phillipp Mwene,Armando Obispo,Bruno Martins Indi,Cody Gakpo,Dani De Wit,Fredrik Midtsjo,Jordy Clasie,Mauro Junior,Olivier Boscagli,Yvon Mvogo
007 M S D,007 M S D (11),Cody Gakpo,Ibrahim Sangare,Armando Obispo,Bruno Martins Indi,Fredrik Midtsjo,Jordy Clasie,Mario Gotze,Mauro Junior,Olivier Boscagli,Peter Vindahl,Phillipp Mwene
10026MA SUPER11,10026MA SUPER11 (1),Cody Gakpo,Jesper Karlsson,Bruno Martins Indi,Fredrik Midtsjo,Jordy Clasie,Mario Gotze,Mauro Junior,Ritsu Doan,Vangelis Pavlidis,Yukinari Sugawara,Yvon Mvogo
